57,"【英雄联盟】K/DA官方MV - ""MORE""正式上线",//www.bilibili.com/video/BV1EZ4y1V7ne,1036646,75.5万,1106
58,评分9.8！掌握成功密码！这部作品为何如此广受好评,//www.bilibili.com/video/BV12v41167gL,1036564,73.3万,2194
59,【医学博士】感冒吃药7天好，不吃药一星期好 | 身体：你在考我数学？,//www.bilibili.com/video/BV1ha4y1s7qd,1032701,47.6万,3680
60,假装把狗狗放进水里会怎样？｜油管超火的狗狗来啦,//www.bilibili.com/video/BV1Qz4y1C7wk,1029061,126.8万,835
61,外国主播五人队被国人单杀?!   5V1怎么输？【逃离塔科夫】,//www.bilibili.com/video/BV1qK411G7dE,1026237,93.2万,768
62,【片片】国产R级，谍战巅峰之作《风声》，12年来无人超越！,//www.bilibili.com/video/BV1BK411G7zA,1008427,69.6万,7727
63,1540买一条大海狼鱼，是我目前见过最凶猛的鱼，出锅后却亏大了,//www.bilibili.com/video/BV1Ha411c7Q7,1002417,65.7万,5341
64,我疯了，被抓进了精神病院，结果…恶魔降临,//www.bilibili.com/video/BV1NV411172F,992413,57.5万,2230
65,《国际歌》全体打工人西安文昌门《国际歌》大合唱！这次你在现场吗？打工人,//www.bilibili.com/video/BV15A411j7Rm,987109,51.6万,2196
66,天空，云朵，落日，星空，流星——[耗时两年，近万张照片]「4k风光延时」,//www.bilibili.com/video/BV16K4y1h7eq,986832,20.8万,1357
67,自学舞蹈，第一次投视频。居然能这么好笑的吗？,//www.bilibili.com/video/BV1qt4y1e7Q1,981133,61.8万,1297
68,【明日方舟】怒号光明剧情。纵黑暗深邃，我亦心怀愤怒。,//www.bilibili.com/video/BV1k54y1r7S1,969049,35.4万,2715
69,猫咪打乒乓球，一次发一球不过瘾，主人连发几百次！,//www.bilibili.com/video/BV1yy4y1z7zk,964208,56.4万,2869
70,被蜜蜂揍了,//www.bilibili.com/video/BV1TT4y1c7jd,962445,87.5万,3006
71,志愿军英雄有多厉害？盘点战斗英雄(一)【列国志24】,//www.bilibili.com/video/BV1jK4y1E7sm,960820,29.5万,5119
72,2 0 7 7 提前了？,//www.bilibili.com/video/BV1xf4y1q7XY,953565,59.3万,4502
73,当猛男用萝利音在网吧打游戏,//www.bilibili.com/video/BV165411L7d1,935484,88.7万,1083
74,无脑写出高级作文！5年老记者揭秘凑字绝活儿,//www.bilibili.com/video/BV1nr4y1w7NW,935371,26.2万,683
75,QQ被盗后发布赌博广告，我一气之下黑了他们网站,//www.bilibili.com/video/BV1mK4y177Do,934765,53.5万,1068
76,谈恋爱一般都谈什么,//www.bilibili.com/video/BV1ap4y167qV,931916,88.4万,584
77,饥饿总是慢我一步,//www.bilibili.com/video/BV1wf4y1q7aa,929659,100.5万,1778
78,35块钱自制了3斤甜辣周黑鸭 完美复刻！！,//www.bilibili.com/video/BV1BK4y1E7fY,927470,38.1万,61
79,小伙9.9买刀削面神器，深夜起来吃两大碗，以后再也不用点外卖了,//www.bilibili.com/video/BV1PA411j7RB,923618,75.6万,4796
80,《甄嬛传》？这怕是个《假嬛传》，陈凯歌导演的舞台就这？？爆笑吐槽《演员请就位2》！！,//www.bilibili.com/video/BV1TA411j76W,914934,47.2万,7336
81,女生没自信的时候一定要看这个视频,//www.bilibili.com/video/BV1Ff4y1q7AN,911570,58.3万,391
82,阿婆疯了！拿郫县豆瓣做美式烤肉 尝过才知道川味竟是绝配,//www.bilibili.com/video/BV16p4y167fh,904838,52.3万,7933
83,花1200在网吧包夜是什么体验？配床还配大浴缸，光电脑就值6万！,//www.bilibili.com/video/BV1ca4y1x7n4,897599,74.7万,5549
84,【艾叔】重庆1600万长嘉汇豪宅，窗外能看两条江是怎样的体验,//www.bilibili.com/video/BV1BK4y1E7m7,888692,50万,5081
85,大闸蟹最完美的季节在哪买大闸蟹靠谱？,//www.bilibili.com/video/BV1yy4y1B7cY,882426,72.6万,4540
